@relation 'flopRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute flopRank numeric
@attribute id numeric

@data
2,1,302058,1627293
3,3,-1,1627297
3,1,385360,1627298
3,3,-1,1627303
3,2,335309,1627305
3,1,-1,1627307
4,1,377498,1627310
4,3,377848,1627316
4,2,386048,1627319
4,1,394851,1627322
4,4,744669,1627329
4,3,-1,1627332
4,1,-1,1627334
3,2,-1,1627339
3,1,333009,1627341
4,1,743790,1627344
4,3,-1,1627350
4,2,-1,1627353
4,3,-1,1627358
4,2,-1,1627361
4,4,211629,1627367
4,4,395438,1627371
4,3,-1,1627374
4,2,399611,1627377
4,1,-1,1627380
4,4,396332,1627387
4,2,368122,1627389
6,1,-1,1627392
6,6,-1,1627403
5,4,-1,1627407
5,3,-1,1627411
5,4,-1,1627417
5,3,-1,1627421
5,5,384276,1627428
5,3,-1,1627431
5,5,-1,1627438
5,4,-1,1627442
5,3,-1,1627446
5,1,390794,1627449
5,4,-1,1627480
5,3,-1,1627484
5,1,390640,1627487
5,5,366134,1627496
3,3,744359,1627502
3,3,-1,1627505
3,1,373348,1627690
3,1,375418,1627693
3,3,375219,1627698
3,2,398908,1627700
3,3,399649,1627704
3,2,372374,1627706
4,1,-1,1627846
4,4,-1,1627868
3,2,365419,1627870
3,3,268749,1627874
3,2,365937,1627876
4,2,335376,1627879
3,1,-1,1627882
3,3,-1,1627887
3,3,396344,1627890
2,1,372724,1627891
2,2,383347,1627894
2,1,306775,1627895
2,1,396514,1627897
2,2,393057,1627900
2,2,327873,1627902
2,1,302042,1627903
2,2,383854,1627906
2,1,383347,1627907
2,1,390093,1627909
2,1,358828,1627911
2,2,1114536,1627914
2,1,743996,1627915
2,1,388261,1627917
3,3,-1,1627921
4,2,395304,1627929
4,1,-1,1627932
3,2,744005,1627937
3,2,-1,1627940
4,4,744492,1627948
4,3,-1,1627951
4,2,-1,1627954
3,1,275665,1627957
3,3,-1,1627962
4,2,-1,1627964
4,1,-1,1627967
4,4,392499,1627974
3,3,368706,1628070
4,2,-1,1628072
4,3,-1,1628077
5,2,392303,1628080
5,1,368319,1628084
6,1,-1,1628089
7,5,-1,1628099
7,2,-1,1628103
7,5,-1,1628113
7,5,-1,1628155
8,3,-1,1628160
8,2,-1,1628167
9,8,-1,1628220
9,7,396881,1628228
9,5,-1,1628235
8,4,-1,1628243
7,2,1115718,1628249
5,5,397580,1628259
3,2,363954,1630361
4,1,-1,1630363
4,2,-1,1630368
4,4,-1,1630374
4,3,-1,1630377
4,1,-1,1630379
4,3,-1,1630385
4,2,-1,1630388
4,1,-1,1630391
4,2,-1,1630396
4,1,-1,1630399
4,4,-1,1630406
4,3,-1,1630409
4,1,-1,1630411
4,4,-1,1630418
4,3,388768,1630421
4,2,-1,1630424
4,4,-1,1630430
4,2,385923,1630432
4,4,-1,1630438
4,2,-1,1630440
4,2,-1,1630444
4,1,-1,1630447
4,3,-1,1630453
4,1,377810,1630455
4,4,-1,1630462
4,3,399570,1630465
4,2,396670,1630468
4,1,-1,1630471
4,4,375273,1630478
2,2,384437,1630480
2,1,386276,1630481
2,2,363727,1630484
2,1,384234,1630485
2,1,306635,1630487
2,2,381160,1630490
2,2,393062,1630492
