@relation 'riverRank Instances list'

@attribute playersLeft numeric
@attribute position numeric
@attribute riverRank numeric
@attribute id numeric

@data
3,1,-1,1631662
3,1,393008,1631665
3,3,373432,1631670
3,1,-1,1631671
3,1,397274,1631674
3,3,-1,1631679
2,2,743820,1631681
2,1,743833,1631682
3,1,395232,1631684
3,3,1114891,1631689
3,1,1485182,1631690
6,4,744739,1631696
6,1,399654,1631699
7,7,-1,1631711
7,6,-1,1631717
7,1,366137,1631719
9,8,-1,1631753
9,3,-1,1631808
9,2,-1,1631816
9,1,397611,1631824
9,9,-1,1631891
9,8,-1,1631899
8,7,395441,1631907
8,2,1485184,1631910
8,1,-1,1631917
5,4,-1,1632845
5,3,-1,1632849
5,3,-1,1632854
5,5,744587,1632861
5,2,744741,1632863
5,1,-1,1632867
5,5,375669,1632876
5,3,744574,1632879
5,2,1114201,1632883
4,1,-1,1632887
4,4,-1,1632894
4,3,-1,1632897
4,1,382037,1632899
4,4,-1,1632906
5,2,-1,1632908
5,1,-1,1632912
6,1,-1,1632917
7,5,-1,1632927
7,5,-1,1632934
6,2,-1,1632938
5,5,-1,1632947
4,3,-1,1632950
4,2,744737,1632953
4,1,386389,1632956
4,4,-1,1632963
2,1,388666,1632964
3,1,1115651,1632966
3,3,744519,1632971
3,1,1485181,1632972
3,3,-1,1632977
3,1,-1,1632978
4,4,2163281,1632984
4,3,744337,1632987
4,4,-1,1632992
6,4,744399,1633004
6,2,-1,1633008
6,1,-1,1633013
5,5,-1,1633023
6,3,-1,1633026
6,3,744677,1633032
3,2,366151,1633037
5,4,-1,1633074
5,3,2189473,1633078
5,4,-1,1633084
5,3,-1,1633088
4,3,377614,1633485
4,1,395416,1633487
4,3,-1,1633493
4,1,743675,1633495
3,3,2131948,1633501
3,2,375669,1633503
3,3,743859,1633507
3,3,744028,1633510
2,2,744353,1633512
2,2,1116031,1633514
2,1,382079,1633515
2,2,399652,1633518
2,2,1115197,1633520
2,1,399430,1633521
2,2,1116046,1633524
2,1,743818,1633525
2,1,744154,1633527
2,2,1114382,1633530
3,1,373470,1633531
8,5,743641,1633538
9,5,2194051,1633546
9,4,-1,1633554
6,6,-1,1633565
3,3,397259,1635606
3,1,399470,1635607
4,3,2129974,1635612
4,4,382065,1635617
4,3,-1,1635620
4,4,-1,1635625
4,2,744350,1635627
5,5,380050,1635634
5,4,-1,1635638
4,2,-1,1635641
5,1,386612,1635644
5,5,394867,1635653
6,1,-1,1635654
5,5,744683,1635664
