@relation 'Flop Round 2'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
3,1,744695,2,280,7489,300,c:20
3,2,396904,2,170,4134,400,c:20
4,1,744551,2,340,6334,200,r:40
5,2,1115059,2,340,6704,220,c:20
3,2,1485179,2,250,8044,160,r:40
8,2,393062,2,210,8214,140,c:20
7,4,383643,2,300,7924,240,c:20
4,2,399105,2,170,8114,160,c:20
5,4,1115426,2,270,9124,400,c:20
6,1,385347,2,200,11661,140,c:20
4,1,363377,2,240,13401,200,c:20
5,1,396696,3,500,20058,360,c:0
9,8,387712,2,300,25046,220,c:20
7,1,397216,2,360,25337,180,c:20
3,1,306828,2,240,1910,240,c:20
6,3,397064,2,340,2950,200,c:20
9,2,399582,3,570,3700,280,c:20
4,1,390625,2,340,4070,240,r:40
9,6,395411,3,530,4280,280,c:20
8,1,383725,3,300,4245,140,c:20
3,1,390966,2,380,4750,260,r:40
7,1,384072,2,320,4590,220,c:20
3,2,399472,2,250,5060,200,c:20
3,2,397087,2,260,4445,200,r:40
4,1,397033,2,440,4615,300,r:40
3,1,390910,2,240,4752,336,c:20
5,1,391049,3,300,4441,100,c:0
4,1,1485182,3,300,4946,180,c:20
8,1,744685,3,460,5141,240,r:20
7,2,394135,4,440,4556,220,c:0
8,3,395163,2,290,4486,240,c:20
4,1,1115244,3,340,4091,300,c:20
8,4,363221,5,780,2701,180,c:0
3,3,399555,2,250,8139,200,c:20
3,3,743672,2,250,9259,160,c:20
4,2,1114017,2,290,7904,240,c:20
3,1,271131,2,220,7543,320,c:20
3,1,399105,2,340,8225,280,r:40
4,2,1485181,2,340,11586,220,r:40
4,1,1114883,3,420,78721,340,c:0
4,1,182884,3,360,78981,200,c:0
4,2,393980,3,430,77691,340,c:0
3,1,396175,2,240,78156,200,c:20
3,1,743668,2,220,38867,180,c:20
6,1,386257,2,260,2430,100,c:20
6,2,1115439,2,370,1610,240,r:40
6,2,394853,2,450,1140,240,c:20
3,1,381643,2,260,1940,100,c:20
3,1,394879,2,360,2295,220,c:20
4,1,332830,4,560,4065,180,c:40
3,1,396543,2,200,1783,220,c:20
4,1,397582,2,300,2528,200,c:20
6,4,372893,3,460,1128,200,c:20
8,1,391417,2,560,4778,260,r:40
5,4,392332,4,650,5468,240,c:0
6,1,399471,3,580,4108,240,c:0
3,1,388089,3,360,5348,200,c:0
4,2,394810,3,480,5888,240,c:20
6,2,1114700,3,560,2600,400,c:0
