@relation 'Turn Round 1'

@attribute playersLeft numeric
@attribute position numeric
@attribute rank numeric
@attribute playersStreet numeric
@attribute pot numeric
@attribute chips numeric
@attribute chipsBets numeric
@attribute action string

@data
2,1,390797,2,280,118913,180,r:80
2,1,337590,2,240,118353,120,c:40
2,1,385923,2,320,118243,160,c:40
2,1,2158507,2,320,118003,160,c:40
2,1,743482,2,240,118053,160,c:40
2,1,744284,2,280,118063,180,r:80
2,1,399641,2,320,118003,160,c:40
2,1,743950,2,280,117413,180,c:40
3,1,397204,2,200,120063,100,c:40
6,4,2208336,2,310,117650,160,r:80
6,2,394865,2,290,117880,180,c:40
8,1,390811,3,200,118280,60,c:0
6,5,377317,3,380,118220,120,c:0
6,6,744527,2,310,117390,180,c:40
6,2,744737,2,400,117680,220,c:40
8,6,394514,2,800,118120,400,c:40
4,2,744301,2,200,122260,80,c:40
3,1,399103,2,240,122330,140,c:40
3,2,368616,2,180,122220,80,c:40
6,4,744200,2,230,122590,180,c:40
7,5,399245,2,290,122980,140,c:40
5,2,390865,3,420,123190,180,c:0
6,2,743283,2,450,123460,260,r:80
4,2,377840,2,330,122485,280,c:40
2,1,386465,2,240,122025,160,c:40
2,1,388485,2,160,121795,120,c:40
9,2,379319,2,130,145074,60,c:40
8,3,743495,2,230,143942,140,c:40
8,2,1115032,3,450,143957,180,c:0
7,1,399627,2,400,144337,200,c:40
8,6,397582,2,410,144317,180,r:80
6,2,386290,2,200,2195,80,c:40
3,2,397087,2,220,2245,140,c:40
7,7,2227902,4,960,2345,320,c:60
3,2,399653,2,240,2985,160,c:40
6,5,1485179,3,630,3501,220,c:40
5,2,392850,2,320,3221,220,c:40
5,1,394894,2,300,3441,140,c:40
5,2,744218,2,320,3901,180,c:40
3,2,2227763,2,330,4681,200,r:80
4,1,397624,2,240,4791,160,c:40
4,2,384021,2,240,4111,100,c:40
4,1,1114313,2,420,4011,240,c:40
5,3,1114884,2,330,3781,240,r:80
8,6,392513,3,450,4731,140,c:40
9,2,2191488,2,390,4491,180,c:40
2,1,388093,2,280,2098,140,c:40
4,1,306648,2,300,1463,120,c:40
8,1,1485182,2,180,2138,80,c:40
9,6,743131,2,410,2368,160,r:80
8,2,744195,2,280,2348,140,c:40
8,1,1115011,2,480,2208,280,r:80
7,2,1114044,2,360,1925,180,c:40
7,2,744741,2,360,1835,160,c:40
5,2,1115729,2,290,1725,260,r:80
5,2,399654,2,360,1915,220,c:40
4,2,374910,2,240,2275,100,c:40
4,1,366123,2,260,2090,240,c:40
3,1,363728,2,320,2500,200,c:40
3,1,383345,2,260,2680,140,c:40
3,2,379882,2,170,2850,80,c:40
4,1,397557,2,300,2740,180,c:40
5,1,2227920,2,240,2400,120,c:40
3,2,399453,2,370,2880,220,r:80
3,1,382203,2,120,2770,60,c:40
3,1,392839,2,280,2720,140,c:40
9,6,395232,2,290,3100,160,c:40
9,1,397077,2,300,2920,160,c:40
8,1,1114651,2,580,2580,340,r:80
3,1,337041,2,220,2275,100,c:40
3,2,743437,3,300,2035,180,c:40
7,5,384008,2,360,2605,140,c:40
4,2,384388,2,290,2515,140,c:40
4,3,1485184,2,450,3085,260,r:80
8,2,395241,2,300,4875,140,c:40
5,2,393021,2,320,4735,140,c:40
8,2,744561,3,430,5245,180,c:40
3,1,2220010,2,360,5535,220,r:80
3,1,399655,2,260,5705,120,c:40
3,2,395441,2,260,5725,140,c:40
3,2,392514,2,250,5515,160,c:40
3,3,395413,2,410,5975,227,c:40
3,1,375642,2,280,5904,140,c:40
3,3,394710,2,330,5804,160,c:40
4,2,2227829,2,410,5894,200,c:40
5,4,1115223,2,570,6174,260,c:40
2,1,744541,2,480,5519,240,r:80
2,1,391029,2,200,5809,140,c:40
2,2,2227783,2,520,5869,300,r:80
2,1,380063,2,280,6239,140,c:40
2,1,744672,2,280,6079,180,c:40
4,1,368502,2,360,6309,160,c:40
4,1,390653,3,360,6799,140,c:0
6,2,388849,2,210,6559,120,c:40
5,3,744574,2,270,7049,140,c:40
5,4,395360,2,860,7039,300,c:40
5,1,744702,2,360,6379,220,c:40
4,2,1116017,2,400,6229,240,c:40
4,1,394881,2,300,6639,140,c:40
2,1,396360,2,240,6279,160,c:40
6,2,1114835,2,210,5189,180,c:40
5,4,1485182,2,620,5014,420,r:40
7,6,388852,3,460,5124,140,c:0
6,3,366303,2,470,4654,260,r:80
6,2,393230,3,410,4564,120,c:40
6,5,1114509,2,550,4934,280,r:80
7,2,388845,2,250,5064,120,c:40
8,7,1115089,3,940,5064,300,r:40
8,6,743859,2,370,5784,180,c:40
3,1,381332,2,340,5954,160,c:40
4,2,392824,2,320,5844,180,c:40
4,2,744117,2,290,5704,160,r:80
8,2,743790,2,390,5969,180,r:40
4,1,384457,2,200,3259,80,c:40
5,1,363954,2,200,3239,100,c:40
7,7,1485183,2,520,2979,240,r:80
6,2,1114215,2,330,2899,220,r:80
5,1,275863,3,300,2629,100,c:40
7,4,395409,3,470,2639,160,c:40
7,5,1115187,2,550,2999,300,r:80
7,3,397583,2,350,2629,200,c:40
8,4,368696,2,250,2331,100,c:40
4,3,390679,3,370,1741,120,c:0
4,1,398923,2,280,1651,140,c:40
5,5,397246,3,440,1691,180,c:40
4,2,380063,2,130,2241,60,c:40
4,3,744353,3,500,2631,160,c:0
4,2,397613,2,210,2711,140,c:40
3,1,399274,2,340,2881,180,c:40
3,2,394529,2,240,3091,240,c:40
3,3,390133,2,330,2961,160,c:40
3,2,744587,2,210,3231,100,c:40
3,1,399455,2,240,3901,120,c:40
3,1,334844,2,260,4321,120,c:40
3,1,744569,2,300,4071,180,c:40
3,1,393034,2,280,4041,160,c:40
4,1,743775,2,300,3701,140,c:40
4,1,743775,2,320,3381,200,r:80
2,1,330633,2,200,3751,140,c:40
2,2,391951,2,200,4031,180,c:40
4,1,386572,2,240,4576,160,c:40
5,3,394346,3,570,4336,220,c:0
4,1,392862,2,260,3956,200,c:40
4,3,744755,2,250,4096,140,c:40
4,1,397272,2,340,3856,200,c:40
5,4,399641,2,310,3956,180,c:40
4,1,337771,3,300,4566,260,c:0
5,2,2191828,2,290,4976,100,c:40
6,2,395373,2,330,5246,200,c:40
7,2,372179,3,570,4076,160,c:40
6,5,395232,3,720,4036,320,c:40
3,3,1114353,3,660,3696,300,r:40
4,2,744221,2,290,3986,180,c:40
3,2,399457,2,280,3766,180,c:40
3,3,381330,2,290,3866,180,c:40
3,1,743297,2,180,3666,120,c:40
2,1,392515,2,320,3596,200,c:40
2,2,388484,2,200,3266,140,c:40
3,1,744636,2,340,2456,160,c:40
3,1,1116041,2,320,2546,200,c:40
3,1,386286,2,340,2686,140,c:40
3,2,392866,2,320,2596,200,c:40
2,1,390628,2,320,2366,160,c:40
3,1,744752,2,340,2266,200,r:80
4,2,380047,2,250,3026,120,c:40
3,2,388783,2,200,2831,100,c:40
3,1,1115533,2,520,2761,420,r:80
2,1,380062,2,200,3121,100,c:40
2,1,744158,2,240,3141,160,c:40
2,1,392515,2,280,3081,180,c:40
